"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Iron County, MO"	"29093"	"2019"	"2019"	Suppressed	10125	Suppressed
	"Iron County, MO"	"29093"	"2020 "	"2020"	Suppressed	10098	Suppressed
	"Jackson County, MO"	"29095"	"2016"	"2016"	29	691801	4.2
	"Jackson County, MO"	"29095"	"2017"	"2017"	27	698895	3.9
	"Jackson County, MO"	"29095"	"2018"	"2018"	30	700307	4.3
	"Jackson County, MO"	"29095"	"2019"	"2019"	24	703011	3.4
	"Jackson County, MO"	"29095"	"2020 "	"2020"	28	705925	4.0
	"Jasper County, MO"	"29097"	"2016"	"2016"	Suppressed	119111	Suppressed
	"Jasper County, MO"	"29097"	"2017"	"2017"	Suppressed	120217	Suppressed
	"Jasper County, MO"	"29097"	"2018"	"2018"	Suppressed	120636	Suppressed
	"Jasper County, MO"	"29097"	"2019"	"2019"	Suppressed	121328	Suppressed
	"Jasper County, MO"	"29097"	"2020 "	"2020"	Suppressed	121648	Suppressed
	"Jefferson County, MO"	"29099"	"2016"	"2016"	24	224226	10.7
	"Jefferson County, MO"	"29099"	"2017"	"2017"	19	223810	Unreliable
	"Jefferson County, MO"	"29099"	"2018"	"2018"	27	224347	12.0
	"Jefferson County, MO"	"29099"	"2019"	"2019"	18	225081	Unreliable
	"Jefferson County, MO"	"29099"	"2020 "	"2020"	Suppressed	226543	Suppressed
	"Johnson County, MO"	"29101"	"2016"	"2016"	Suppressed	53942	Suppressed
	"Johnson County, MO"	"29101"	"2017"	"2017"	Suppressed	53897	Suppressed
	"Johnson County, MO"	"29101"	"2018"	"2018"	Suppressed	53652	Suppressed
	"Johnson County, MO"	"29101"	"2019"	"2019"	Suppressed	54062	Suppressed
	"Johnson County, MO"	"29101"	"2020 "	"2020"	Suppressed	54219	Suppressed
	"Knox County, MO"	"29103"	"2016"	"2016"	Suppressed	3934	Suppressed
	"Knox County, MO"	"29103"	"2017"	"2017"	Suppressed	3977	Suppressed
	"Knox County, MO"	"29103"	"2018"	"2018"	Suppressed	3947	Suppressed
	"Knox County, MO"	"29103"	"2019"	"2019"	Suppressed	3959	Suppressed
	"Knox County, MO"	"29103"	"2020 "	"2020"	Suppressed	3940	Suppressed
	"Laclede County, MO"	"29105"	"2016"	"2016"	Suppressed	35490	Suppressed
	"Laclede County, MO"	"29105"	"2017"	"2017"	Suppressed	35443	Suppressed
	"Laclede County, MO"	"29105"	"2018"	"2018"	Suppressed	35713	Suppressed
	"Laclede County, MO"	"29105"	"2019"	"2019"	Suppressed	35723	Suppressed
	"Laclede County, MO"	"29105"	"2020 "	"2020"	Suppressed	35895	Suppressed
	"Lafayette County, MO"	"29107"	"2016"	"2016"	Suppressed	32618	Suppressed
	"Lafayette County, MO"	"29107"	"2017"	"2017"	Suppressed	32641	Suppressed
	"Lafayette County, MO"	"29107"	"2018"	"2018"	Suppressed	32598	Suppressed
	"Lafayette County, MO"	"29107"	"2019"	"2019"	Suppressed	32708	Suppressed
	"Lafayette County, MO"	"29107"	"2020 "	"2020"	Suppressed	33006	Suppressed
	"Lawrence County, MO"	"29109"	"2016"	"2016"	Suppressed	38381	Suppressed
	"Lawrence County, MO"	"29109"	"2017"	"2017"	Suppressed	38434	Suppressed
	"Lawrence County, MO"	"29109"	"2018"	"2018"	Suppressed	38359	Suppressed
	"Lawrence County, MO"	"29109"	"2019"	"2019"	Suppressed	38355	Suppressed
	"Lawrence County, MO"	"29109"	"2020 "	"2020"	Suppressed	38175	Suppressed
	"Lewis County, MO"	"29111"	"2016"	"2016"	Suppressed	10134	Suppressed
	"Lewis County, MO"	"29111"	"2017"	"2017"	Suppressed	9967	Suppressed
	"Lewis County, MO"	"29111"	"2018"	"2018"	Suppressed	9855	Suppressed
	"Lewis County, MO"	"29111"	"2019"	"2019"	Suppressed	9776	Suppressed
	"Lewis County, MO"	"29111"	"2020 "	"2020"	Suppressed	9810	Suppressed
	"Lincoln County, MO"	"29113"	"2016"	"2016"	Suppressed	55267	Suppressed
	"Lincoln County, MO"	"29113"	"2017"	"2017"	Suppressed	56183	Suppressed
	"Lincoln County, MO"	"29113"	"2018"	"2018"	Suppressed	57686	Suppressed
	"Lincoln County, MO"	"29113"	"2019"	"2019"	Suppressed	59013	Suppressed
	"Lincoln County, MO"	"29113"	"2020 "	"2020"	Suppressed	60119	Suppressed
	"Linn County, MO"	"29115"	"2016"	"2016"	Suppressed	12164	Suppressed
	"Linn County, MO"	"29115"	"2017"	"2017"	Suppressed	12194	Suppressed
	"Linn County, MO"	"29115"	"2018"	"2018"	Suppressed	12037	Suppressed
	"Linn County, MO"	"29115"	"2019"	"2019"	Suppressed	11920	Suppressed
	"Linn County, MO"	"29115"	"2020 "	"2020"	Suppressed	11830	Suppressed
